sample	3alpha-hydroxy-5beta-cholanic acid	4-methoxyphenylacetic acid	methyl indole-3-acetic acid	nicotinamide	ferulic acid	2-hydroxypyridine	2-hydroxycinnamic acid	3-hydroxyanthranilic acid	acetylcholine	pyridoxine	3-hydroxyphenylacetic acid	adenine	xanthine	adenosine	hypoxanthine	biotin	2-quinolinecarboxylic acid	pterin	creatinine	choline	choline o-sulfuric acid	cytosine	allantoin	nicotinic acid	isonicotinic acid	guanine	methylguanidine	pantothenic acid	cytidine	tyramine	betaine	thiamine	guanosine	trigonelline	tryptophan	methionine	proline	quinic acid	trans-4-hydroxyproline	"3,4-dihydroxy-phenylalanine"	deoxycarnitine	sucrose	palatinose	4-guanidinobutanoic acid	cellobiose	maltose	lactose	asparagine_2	histidine_2	citrulline	glutamic acid	aspartic acid_2	fructose 6-phosphoric acid_2	alpha-glucose 1-phosphoric acid_2	guanosine 5'-monophosphoric acid_2	alpha-galactose 1-phosphoric acid	stachyose	glucose 6-phosphoric acid	N-trimethyllysine	arginine_2	lysine	ornithine	agmatine sulfuric acid	"fructose 1,6-biphosphoric acid"	2'-deoxyadenosine 5'-triphosphoric acid	glucuronolactone	mevalolactone	3-(4-hydroxyphenyl)lactic acid	fumaric acid	trans-cinnamic acid	thymine	3-(2-hydroxyphenyl)propanoic acid	ferulic acid_2	uracil	vanillic acid	4-coumaric acid	2-hydroxycinnamic acid_2	thymidine	2-hydroxyphenylacetic acid	4-hydroxybenzoic acid	homovanillic acid	glucuronolactone	azelaic acid	pyridoxine_2	4-hydroxyphenylacetic acid	salicylic acid	2-methylmaleic acid	maleic acid	adenine	3-hydroxyphenylacetic acid_2	xanthine_2	hypoxanthine_2	caffeic acid	suberic acid	biotin_2	methyl beta-galactoside	pterin_2	"2,3-dihydroxybenzoic acid"	"3,4-dihydroxybenzoic acid"	4-methylcatechol	"2,5-dihydroxybenzoic acid"	itaconic acid	allantoin	inosine	3-(4-hydroxyphenyl)lactic acid	guanine	cytidine	pantothenic acid	thiamine	leucine	norleucine	isoleucine	tryptophan	norvaline	proline	valine	glyceric acid	tyrosine	quinic acid	"3,4-dihydroxy-phenylalanine"	alanine	threonine	allothreonine	homoserine	2-oxoadipic acid	"cytidine 2',3'-cyclic mono-phosphoric acid"	glycine	glutamine	serine	asparagine	4-aminobutanoic acid	5-aminopentanoic acid	gluconic acid	trehalose	cysteic acid	histidine	N-acetylneuraminic acid	glycerol 2-phosphoric acid	N-acetyl-glutamic acid	sn-glycerol 3-phosphoric acid	fructose 6-phosphoric acid	aspartic acid	alpha-glucose 1-phosphoric acid	guanosine 5'-monophosphoric acid	fumaric acid	mannose 6-phosphoric acid	arginine	tartaric acid	lysine_2	saccharic acid	galactaric acid	ornithine_2	malic acid	2-phosphoglyceric acid	"fructose 1,6-biphosphoric acid_2"
d03-CT-SoilB	1495715.125	1065806.5	1267310.125	4982429	254756.0938	6295857	376216.8438	355290.7188	943047.8125	81649848	0	89343384	459933.7188	1301829.5	64136752	2307335	39043.47656	0	880478.8125	257129984	5841152	1573186.375	11120.61523	2700710.5	2700710.5	3409491.25	64136.66016	7680875.5	0	111118.125	35940480	1306909.625	10353.93652	882961.25	15525.23047	0	450649.5625	151416.1563	55015.23047	0	76179.95313	112666.2188	112666.2188	357010.0625	112666.2188	112666.2188	112666.2188	0	41920.58984	36163.06641	627898.8125	240391.9844	817219.0625	817219.0625	0	817219.0625	169380.7188	817219.0625	190159.2813	525609.1875	60518.8125	33206.97266	43858.81641	326977	61339.86328	51868.55469	23156.13477	0	0	413243.5	1556331.25	19460702	5541636.5	634684.0625	1631361152	1774944.75	1774944.75	53957.37891	314669344	897492736	32507726	88807.16406	752717.25	7524477.5	314669344	897492736	2695529.5	133308.8594	3546121.5	25564.87891	3391193.5	4279326	1991529.25	118503.3672	187838.0625	1395855.25	60307.41016	101593904	101593904	438434.0938	92159560	1073181.25	364965.2813	125191.0078	106059.3906	3786179.5	35866.63672	16081663	143767.75	74423.79688	74423.79688	26633.47656	15522.3125	83808.50781	140411.0156	83808.50781	35653.69141	27196.66992	7772426	12890.31934	310935.4063	164292.2188	164292.2188	20758.79102	34135.94141	0	0	231626.7188	597471.0625	136026.8594	33102.5625	16565.50195	2805966.25	556824.25	446283.875	82069.82031	28401.64063	954678.5625	882504.0625	954678.5625	4417849.5	369304.3438	4417849.5	24901.39844	21165.37109	222644.7813	59869.68359	1781602.75	45946.15234	604424.25	604424.25	77870.46094	1080968.375	74417.08594	22417.69531
d05-CT-SoilB	2567668.5	3346762.25	1816081.5	4988470	385930.9375	10119975	603935.375	575186.5	6228006.5	232171056	0	149710816	662474.125	15104706	285920416	8051074	46811.80078	280114.375	1559880.125	571307456	64232616	2364266.5	38025.11719	8100042	8100042	10396366	196382.2344	17673206	0	119714.9609	409126016	6548454	64794.75391	1279138.875	36066.32813	136802	1137027.125	480536.4063	120199.7969	0	168956.7813	251262.9844	251262.9844	2068483.875	251262.9844	251262.9844	251262.9844	21519.13672	59395.91016	64080.33594	3362176.5	723670.6875	1627976.125	1627976.125	18147.3418	1627976.125	177085.6406	1627976.125	341970.6875	10665123	227425.1563	24490.95508	165763.125	915850.1875	78335.49219	29807.25195	34412.17969	0	0	803896.625	3140902.25	35621680	7903191	2476803	3135264768	3062035.25	3062035.25	2769132.5	570993472	1737299200	75071328	169621.3906	3275922	33896744	570993472	1737299200	7320638.5	390212.375	13486930	45138.57031	5268667.5	30887136	5102930.5	336172.75	599335.375	6055329	142096.8594	303894752	303894752	1172920.875	172242032	396369.4063	1459755.875	54715484	163438.6094	11270364	79753.625	37519684	2943448.5	208996.0313	208996.0313	359042.0625	50256.41406	858556.6875	405807.3125	858556.6875	0	154945.75	14462338	14315.51758	565937.125	241370.6094	241370.6094	29277.58984	33056.85156	0	30251.67578	256816.875	595507.9375	233508.6719	62570.76172	18845.53711	818566.125	523141.375	1087718	73045.80469	31688.48828	2971407.25	3824454	2971407.25	7021609.5	518792.375	7021609.5	28696.95117	24990.97852	329439.25	1209478.75	3395522.25	219804.1719	681251.25	681251.25	352139.9375	1127946.5	74981.01563	139615.75
d07-CT-SoilB	2810781	3524018.25	1908725.75	1765762.25	710601.625	7188645	740610.5625	632577.1875	347486.6563	220903392	0	91522312	310373.75	1037139.563	45743584	10039625	37167.96875	336946.8438	1653334.375	70099016	8135182	2518750	18698.21484	8788471	8788471	5453455	92457.44531	15467061	0	130134.4063	20733194	3516393.75	8743.279297	2431770.5	25333.12891	22968.41602	713599.1875	371231.25	95944.10938	21504.65625	144874.7813	167256.2031	167256.2031	1049685.125	167256.2031	167256.2031	167256.2031	0	46916.72266	80690.29688	694957	558717.0625	1426697.625	1426697.625	0	1426697.625	97532.96875	1426697.625	372605.2188	588533.125	75250.49219	20653.65625	101251.6719	1138677	67684.70313	34931.80469	18570.82813	0	0	780525.125	3012708.5	34108932	9161044	2745249	2892328192	3277827.25	3277827.25	59049.44922	636054336	2010324096	72833920	112791.0234	1066640.375	38345136	636054336	2010324096	5533935	441401	6378199.5	70015.4375	2660385	3874025.5	5223333	230838.5781	640861.375	6371115	161176.25	254008000	254008000	1182952.875	182437376	194972.5781	589958	30247.51758	117327.9375	4931707.5	33259.41406	30515624	818678.5	94620.30469	94620.30469	117217.0078	34917.16406	103425.7969	384175.5	103425.7969	128515.6641	60496.80859	10755923	18262.17969	230250.4063	174505.2344	174505.2344	21300.45117	32571.79297	0	32368.49609	251849.7188	707105.5625	208946.4844	77560.80469	13531.7041	622990.1875	128949.8906	997416	121877.2578	27371.3457	1708145.375	1334219.125	1708145.375	6145933.5	396421.5625	6145933.5	0	18912.9082	202594.5625	64941.96094	1901131.875	55043.47656	127375.7031	127375.7031	55756.46484	1355148.75	90856.94531	164434.4688
d10-CT-SoilB	2125083	1807599	2277900.5	1800343.375	643219.875	9314958	747595	356721.5625	168249.6875	228288672	47968.42969	97087232	265832.3438	1355559	41435396	6449051.5	45826.04688	395149.7813	1346534	18166774	7047434.5	2166830	22349.30273	216373.1719	216373.1719	5367016.5	126236.0391	13736235	0	223277.25	15849932	4257361.5	12238.37109	473420.9375	38862.39844	13345.09961	189603.1719	82904.63281	87543.35938	6748596.5	158273.625	243511.5938	243511.5938	790090.3125	243511.5938	243511.5938	243511.5938	0	43022.83984	82953.07813	624047.8125	460997.1563	1043981.063	1043981.063	0	1043981.063	79667.875	1043981.063	385612.3438	555227	63177.42188	13634.47559	88661.09375	866206.125	45738.65625	27956.74805	21610.74609	0	0	401484.9375	3393812	53504808	9760649	627163.0625	2174884352	2591058	2591058	69414.50781	779956032	1715527040	125047640	98886.3125	2612498	41045096	779956032	1715527040	1487142.5	273692.4063	6415968	53697.38672	2773027.25	3858315.5	5077424	645921.375	472096.25	3463907.5	206961.0781	211139632	211139632	149761728	135865488	182029.1563	617653.125	43033.93359	1504865.875	4611162.5	24848.58594	26224408	964049.875	59166.00781	59166.00781	84488.95313	42976.8125	130106.4063	82774.50781	130106.4063	101574.5703	47279.00781	1962835.875	6158810.5	327753.6563	163929.7969	163929.7969	43211.42969	23223.07227	0	35787.76953	321067.25	596311.4375	187883.5938	69220.76563	15630.01465	403644.8438	119017.2188	532101	80201.67969	22945.13867	928701.375	973493.5625	928701.375	4661231.5	381682.0313	4661231.5	0	39177.51563	173060.4844	57372.67578	907479.625	39835.54688	61588.24219	61588.24219	38204.64063	1025641.813	56994.75391	82062.125
d14-CT-SoilB	2569787	3312101.75	1773756.125	2403689.5	386073.3438	11294509	560295.3125	283834.8125	360176.5938	307122592	0	134734144	190033.8906	2331273.5	40403744	6909262.5	50362.44141	291219.5938	2114727.25	21071410	7926340.5	760818.625	42873.3125	75341.89063	75341.89063	8875979	288265	10393714	18864.64844	1728487.375	8968788	2152873.25	19941.88281	159713.5781	53396.94141	25887.47852	344284.0625	127268.9609	70514.78906	5072664.5	173875.0938	120023.0313	120023.0313	910667.5625	120023.0313	120023.0313	120023.0313	39430.00391	116405.0313	231756.9844	1621595.5	1335322.375	1429223.125	1429223.125	24109.10742	1429223.125	65758.60938	1429223.125	215680.4531	668398.25	201012.3906	33867.21875	76513.5	865896.1875	81276.89063	0	39187.69922	0	0	703336.125	7475594	57454768	8803557	1700243.25	2972094464	4609321.5	4609321.5	95948.26563	821862400	2111949184	89136840	101478.4297	3444600.25	52786184	821862400	2111949184	4094611	1251666.125	11541030	447106.1563	2153945	4261012.5	4485799	953589.9375	1109401.625	4631710	163773.9688	311131456	311131456	294339744	174134976	294190.6563	1710970.375	231779.7188	520529.7188	11666170	100719.8203	30037790	187060.7188	94105.875	94105.875	107466.0938	57737.47656	157323.8438	72944.64844	157323.8438	74712.66406	91277.3125	2126527	4567064	462115.2813	475031.5938	475031.5938	58611.55078	22604.78125	0	32108.89648	462070.9688	1308039.25	262344.2188	106895.6797	21046.98047	613735.75	533224	304907.9688	199821.625	74634.08594	1322179	1296892.375	1322179	5922347	798071.0625	5922347	34590.35938	59635.01953	134725.8906	105467.5625	932327.375	127300.1953	48184.88281	48184.88281	68980.45313	973339.0625	194406.3906	121653.5391
d20-CT-SoilB	1087513.375	2866112.25	1253595.625	893634.1875	274382.2188	9781713	508297.2813	244942.2031	435426.3125	152287760	0	69848080	178707.7031	907504.75	31962576	2849527.5	42105.64453	375958.5	1333287.625	13204945	4849476.5	411351.3438	146315.4063	51842.52734	51842.52734	3638791	266700.0625	3738280.75	0	2571371.25	9829468	1517808.875	0	23812.04883	23959.08984	10727.72168	159146.7656	23258.78125	15158.18066	3353396.75	89362.24219	63222.71484	63222.71484	362316.9375	63222.71484	63222.71484	63222.71484	18827.93359	17871.11328	73247.47656	569924	556101.4375	313426.875	313426.875	0	313426.875	28461.58984	313426.875	187875.4063	273024.3125	53791.38672	23267.25977	79334.64844	393634.4375	60670.51563	45063.32031	27563.97656	0	0	383018.5313	2970875.5	26482828	5035475.5	841376.5	1660124032	1982868.625	1982868.625	82426.28906	332167744	1429601280	237229552	69352.92969	1643064.5	19691856	332167744	1429601280	2466686.75	747593.1875	7554629.5	92515.10938	1347295.25	2484982.75	3663197	359699.25	185583.0313	2212756.5	127241.7344	156333216	150280960	46959248	156333216	171903.3438	1026008.125	55892.90234	361009.5	2839195.5	21158.40234	8167657	151987.75	56188.01172	56188.01172	17672.27734	17183.10742	54529.1875	16739.21484	54529.1875	0	75722.07031	1902092.75	3264101	108546.1563	309468.75	309468.75	35383.85547	24611.14258	0	22847.23828	138044.4219	451806.125	119504.0625	23957.22461	11368.41992	491921.0625	105657.4219	291612.7813	20401.53125	21949.09961	721769.8125	128183.0703	721769.8125	2505011.25	381035.3438	2505011.25	0	31596.48047	66272.875	29348.68945	508298.5938	31169.30078	27963.88281	27963.88281	19434.99414	718365.6875	44395.17188	29795.22656
d00-CT-SoilC	1101111	918129.625	1685135.875	19830634	359265.9688	6640224.5	534441.5625	600339.875	735438.75	120917024	0	158381040	770794.6875	6866526	87158072	3691199.5	42653.28906	157210.625	1152113.875	228034336	8169119	1357158.125	30961.03125	6189085	6189085	7818733.5	81225.14063	14800814	30141.10156	106699.6797	21731992	3456594.5	66146.22656	966858.3125	47458.64063	17736.11328	848147.375	215698.5156	109043.6172	0	125391.4375	1247866.125	1247866.125	749493.1875	1247866.125	1247866.125	1247866.125	0	62344.42969	50002.125	2015463	516751	1343407.125	1343407.125	0	1343407.125	190005.8125	1343407.125	167508.3281	1569120.375	184531.3594	27350.11719	70295.41406	402387.0938	47381.09375	26995.07813	29754.82617	0	0	582695.5625	237705.0781	38151532	6554740.5	919578	1968091008	2325618.25	2325618.25	1926401.875	706463552	1345115520	49630636	98011.28906	1257546.375	20086554	706463552	1345115520	6084525	341525.5625	5305910.5	36862.29297	5298006.5	9088811	3235765	245058.7813	288218.4375	1846086.875	95129.29688	122563744	122563744	866188.6875	96835608	2506931.5	551625.3125	1253400.75	173367.0625	6499335.5	318721.2813	28073208	1460688.25	156935.2031	156935.2031	230825.6875	56868.26563	435200.6875	256840.0938	435200.6875	146195.5	113852.9453	5693456	11928.83203	403243.875	423780	423780	29229.06055	32725.9082	0	38455.13672	352340.1563	778871.4375	576818.75	43154.32422	25613.17383	9012541	1799531.25	575756.4375	133804.2813	28821.38281	1241070.25	601672.0625	1241070.25	6382961.5	1041217.938	6382961.5	75076.3125	47072.11328	311576.1563	172752.7188	2222904	168994.8125	576450.1875	576450.1875	70812.40625	866923.375	38384.54688	39195.75391
d01-CT-SoilC	3006930.25	3414269.75	1587232.375	23825538	543923.125	10338354	668370.5625	1250768.125	1756104.75	187749568	0	222541344	975726.1875	17930998	136992896	7226404	49161.15234	189346.0625	1116035.75	327299584	10834868	1800569.5	25067.98438	15688298	15688298	13186665	75615.53125	21523304	133135.625	132141.3594	27514944	2744125.5	93563.4375	2973001.25	51630.10547	29258.23633	934687.5625	385362.8438	101261.5625	0	169089.3906	1437006.75	1437006.75	1160284	1437006.75	1437006.75	1437006.75	36135.8125	141367.7656	100110.1172	1959529	545488.125	1794083.375	1794083.375	21016.78516	1794083.375	194284.0938	1794083.375	330615.6875	2326590.25	229661.6563	63459.41016	78548.47656	902674.4375	96598.34375	43777.17578	24534.41992	18140.36133	0	726158	270735.1563	34623180	10213274	1300279.75	2690707200	4272319.5	4272319.5	2644152	1019409920	1946745472	54544984	121094.7109	1247544.25	25655058	1019409920	1946745472	4737563	264506.4063	11931613	41684.94922	7627187.5	14000130	4640454	240537.4531	720781.4375	4547286.5	97892.16406	154362496	154362496	1076215.875	150754432	1694792.875	394499.6875	1315314.75	83298.3125	10045738	713942.625	31124408	532409.25	497055.3438	497055.3438	541979.6875	103443.1641	494178.0313	495897	494178.0313	306838.1875	152325.375	10992932	10796.16992	685997.375	583923.3125	583923.3125	40102.43359	41351.71484	0	43112.42578	509980.7188	1052139	635604.375	61951.98828	18937.44336	17199502	1960166.75	1128271.875	265638.3438	39877.8125	1750820.375	1071638.25	1750820.375	9364470	709624	9364470	51116.1875	38008.34375	319709.7813	194578.9531	4284500.5	277915.4063	1052732.75	1052732.75	200597.0625	1783862.625	112509.0391	168086.0938
d03-CT-SoilC	1831540.5	2276545	1373163.25	7329117.5	525499.375	8980945	580470.6875	462877.4063	1865261.125	216617072	0	124837376	840181.0625	2896619.25	111159224	5279141.5	65133.73828	243671.25	1221187	311773952	9061693	2074753.625	31753.57031	7036563.5	7036563.5	6183836.5	94791.67969	16803190	0	144384.1563	31967786	3428532.5	17614.74805	1131022.25	24936.16016	19751.2793	1256004.875	349226.3438	108802.625	0	127588.4531	2510291.25	2510291.25	792018.25	2510291.25	2510291.25	2510291.25	0	34859.57422	81338.71094	1082193	481413.9688	1496865.5	1496865.5	0	1496865.5	156958.0625	1496865.5	268525.75	612752.125	72001.05469	33386.21484	68097.34375	759111.3125	97573.58594	32601.35938	29037.48438	0	0	294182.5625	2045426.75	32715752	8430278	1222022.75	2546576384	2324809.75	2324809.75	53270.49609	585258112	1470136832	61842192	106591.0313	897780.25	32027572	585258112	1470136832	6461536.5	266285.4063	5310322.5	52887.375	6297332	9076036	4740940.5	217426.9375	472641.7188	3793366.5	73323.64063	194982976	194982976	1111432.5	165284688	2450450	756276	278339.3125	182902.0313	6140105.5	68141.89844	30089004	1439941.5	45796.64063	45796.64063	79666.03906	26066.14258	153632.0469	462518.0313	153632.0469	90840.53125	55791.38672	10118582	12422.3252	429147.0938	175989.2031	175989.2031	21014.01563	31428.03906	0	22305.41992	238682.9219	558037.25	157474.6406	69134.42188	20112.77148	3411171.5	581649.125	658085.1875	62143.50781	30713.10352	1533165.75	1053412.875	1533165.75	6631886	513384.8438	6631886	0	35216.71875	335184.2813	68902.5	2736077.5	68371.5625	711747.125	711747.125	106139.9844	872186.8125	58808.73438	53347.20313
d05-CT-SoilC	3163790.25	3437990	2328555.25	3128857.25	579883.4375	9631218	608364.6875	601487.9375	1553856.125	275248032	0	96427232	285577.5313	1373179	45130436	7775221	42604.96094	268225.375	2729711.5	300563744	10124858	2328167.75	30306.67773	12765528	12765528	5313245	153635.7031	18086406	0	133152.3281	29414328	3532177.5	15996.05078	3104093	27255.95508	14458.25586	1072949.5	490958.0938	144970.6406	0	174000.8906	479691.1563	479691.1563	1139934.5	479691.1563	479691.1563	479691.1563	0	61294.35938	90926.48438	1175711.25	678192.375	1539557.375	1539557.375	0	1539557.375	171698.9844	1539557.375	343243.6875	672288.8125	104361.8594	14967.65918	103948.9844	1191984.25	81598.98438	74100.57813	14894.21875	15765.65332	0	822872.6875	2673754	33665096	11477570	2636141.5	2554086656	3235161.25	3235161.25	77284.77344	846209728	1948028800	80553208	148803.875	1661206.875	48172708	846209728	1948028800	9472785	617568.1875	7226659.5	84258.85156	2897133.25	4812530	5043290	307488	658564	6304204	109355.8984	230403808	230403808	949040.3125	168775632	616068.1875	742458.3125	79611.03906	129849.4063	4897076.5	31947.79297	31992442	830177.9375	71507.17188	71507.17188	115887.6641	36910.23828	135190.7188	572432	135190.7188	152508	30033.4707	14193139	18531.17188	364179.875	199998.0625	199998.0625	19460.37305	34255.77344	0	58208.56641	321775.875	715334.375	224938.7031	86081.82813	16123.86035	1006705.563	505573.375	1139090.625	109211.4219	31802.32227	2220604	2212229.5	2220604	7176335	460835.875	7176335	30310.71289	24557.52148	299345.9375	89891.38281	3197139	71930.27344	1259770.625	1259770.625	39211.83203	1379843	93455.3125	235401.2656
d07-CT-SoilC	1756002.25	5057540.5	2326462	3455217.25	804810.5	9016716	912803.3125	739819	693659.6875	289403040	0	105467656	303140.375	1012694.5	51118288	9932687	40418.21484	306871.875	1520723	88047808	8700471	2647995.25	28473.20313	6890486.5	6890486.5	5886912.5	154358.6563	15516904	27819.25195	191396.8281	18241436	3829959.5	9585.941406	2222365	30926.75781	19268.73828	902793.0625	408687.8125	118580.2188	16992.8418	146752.5625	108014.6406	108014.6406	1085940.75	108014.6406	108014.6406	108014.6406	0	42985.9375	39481.90625	691680	614468.875	1431223	1431223	0	1431223	120145.8125	1431223	380486.2188	457806.9688	60914.28906	8010.974121	110151.2188	1135826.375	54609.42188	65184.03125	22038.48633	0	0	1082297.75	2821207	27216488	11032976	2691077.75	3532599552	3947761.5	3947761.5	0	932698048	2033019776	74335824	144020.1094	1396397.625	47256356	932698048	2033019776	5036212	496505	8446317	62902.57813	2819671.75	4510474.5	6642873	387485.0313	657130.25	7420912	146686.8906	236438208	236438208	1337044.75	188771776	208573.2656	588639.5	30175.45898	170850.125	5683683.5	47361.54688	25254648	731746.75	72242.92969	72242.92969	88555.60156	37163.10156	71934.625	388483.9375	71934.625	98277.1875	23546.5293	12593064	19217.66406	206077.6094	128877.0938	128877.0938	19552.79102	43634.73047	13775.98145	41512.48438	274582.0313	471465.7188	193079.6406	91143.64844	18540.6543	669095.1875	131430.0313	915153.25	68184.1875	29116.625	2263575	1586454.625	2263575	6148084	392365.6563	6148084	0	25288.60352	250082.4688	67555.92188	1734941.375	39951.22266	554214.375	554214.375	24677.12305	1071812	97010.38281	175114.9219
d10-CT-SoilC	1689014.375	2080210	1602616.5	966732.5625	449166.75	7162582	505834.4688	313060.3125	116494.25	183042560	0	70909600	165324.0938	1042207.563	32186784	3893482.5	31571.30859	242971.1875	925343.5	12516192	5496046.5	1499914.125	0	97466.64063	97466.64063	2946933	68984.1875	7588203.5	0	114333.2734	30845466	1566290	0	431877.6563	0	19279.42578	133072.8594	40155.33594	60868.35156	137024.5469	65776.99219	245630.3281	245630.3281	413253.0313	245630.3281	245630.3281	245630.3281	0	28866.4375	29714.94141	339896.1875	221439.8594	697453.5	697453.5	0	697453.5	76665.13281	697453.5	278595.4375	388964	36220.42969	12806.64258	47488.35938	460673.9063	55644.37891	21232.1582	35820.47266	0	0	613941.375	1516851.375	24854892	7826379	406279.75	2143239424	1578938.25	1578938.25	41532.78516	297207680	1244455552	45156912	54094.29688	1075543.25	19709992	297207680	1244455552	640817.75	194829.4219	5763584	49345.63281	1770445.25	1860681.875	3588027.75	172470.5625	192632.8281	2143112.25	116294.1953	170276528	170276528	886042.1875	109115160	133747.6875	341863.9063	32082.38281	178081.6875	3199487	24266.16992	18279314	234215.2031	37574.625	37574.625	40725.41797	21467.71875	75311.77344	40480.20703	75311.77344	0	28852.49805	1639128.875	142244.375	104398.4688	128400.4297	128400.4297	23897.33984	21005.12695	0	18587.58398	168644.0781	457955.875	125731.6641	36128.375	16224.46094	330063.6563	123278.1641	325228.0625	44463.19531	36550.76953	652461.3125	867852.6875	652461.3125	3914345	346707.5938	3914345	0	23446.79102	98760.94531	31816.24023	523754.2188	46715.70703	163895.4219	163895.4219	26836.76758	786006.125	28045.45508	32928.4375
d14-CT-SoilC	3006619.25	1718939.75	724582.8125	1189089.75	280215.875	4722142.5	495816.4375	228234.0156	105825.8203	130903112	0	68307688	108239.2109	869770.375	17848696	3157911.25	30648.41211	131943.0469	787914.4375	8089006.5	4515112.5	1447839	0	49683.11328	49683.11328	2992542.25	65654.6875	6474153.5	0	163891.3438	25712710	1169897.5	9922.842773	174155.5156	13884.88086	0	61491.05469	27826.95703	22763.14258	745774.5625	58661.04297	136811.4219	136811.4219	343494	136811.4219	136811.4219	136811.4219	15875.68359	34427.12109	64478.36719	598471.6875	204077.9688	801715.4375	801715.4375	0	801715.4375	56501.02344	801715.4375	181757.0313	675164.8125	51510.80078	9169.742188	21009.46484	254502.5469	21810.94727	0	27748.89063	0	0	621641.375	1776373	27848408	5873802.5	122627.6484	1852633984	1312632.5	1312632.5	56776.51172	313810400	890789248	31893768	56424.98438	1599245.625	14185401	313810400	890789248	628888.1875	96339.78906	5177270.5	37681.55078	1009567.25	1125962.5	1951269	244315.1719	218036.9375	1247293.75	58875.55469	104675144	104675144	3815183.75	92889008	99181.17188	287015.7188	34712.87109	145860.4688	3038605.25	0	13500325	124817.1563	127100.4453	127100.4453	19606.82422	21756.21875	90081.5625	28515.59375	90081.5625	0	43815.23438	1221770.875	897446.8125	121811.5078	189671.0781	189671.0781	20897.87305	22195.40234	0	9776.325195	321061.75	739058.625	141584.1094	36093.47266	15844.06348	323130.25	431873.6563	181477.1406	129549.2422	41199.79297	517201.5	3349109.75	517201.5	4239891	358997.4688	4239891	20408.42383	27623.53711	130050.9453	50881.08984	266310.9688	42520.07031	49305.93359	49305.93359	33418.20703	172737.0625	29114.62891	15342.40137
d20-CT-SoilC	1564053	3101053	2985479.25	1131386	399676.7813	10827183	1358044.5	373990.7188	377652.6563	226950080	0	78382360	213323.8281	1804614.625	43623032	5297164	47092.39063	314460.8125	1299207.625	18339322	7119927	1997865.875	0	97539.17188	97539.17188	5549967.5	108326.3906	9329625	0	481492.75	19116652	4679650	18639.27734	130069.0625	32253.61523	11189.74512	128650.3047	88401.35156	36274.19531	12385677	126680.3203	1339078.75	1339078.75	631040.9375	1339078.75	1339078.75	1339078.75	0	39136.55078	64051.78906	453156.5938	441272.625	1391447	1391447	0	1391447	61362.23438	1391447	329389.1875	544751.9375	58242.33203	16103.91602	92175.70313	921787.875	63034.33984	46061.08984	33590.71094	0	0	396748.5938	3699540.5	44536888	8358979	739918.0625	2899720960	1841625.625	1841625.625	74048.01563	226932688	1348510464	263193520	61871.55469	855274.0625	23909600	226932688	1348510464	1426169.25	263069.6563	6564399.5	66338.875	1833860.125	2356850.75	4127336	136702.3125	241885.9375	2441032	150133.2969	238879488	238879488	48702140	178119104	173703.0469	680691.4375	54076.98828	278468.8438	5216514.5	74681.625	25360690	943253.6875	50929.15234	50929.15234	40193	38693.64844	163139.6875	35321.18359	163139.6875	0	74311.0625	2397423.5	14647157	267173.9688	211109.8281	211109.8281	29569.9043	33099.54297	0	16203.34961	228725.3438	629101.5	165466.8906	45204.19531	64241.13281	452241.5	140927.5	471555.5625	42629.26563	23374.05859	1729150.875	3524268.5	1729150.875	7906245	326421.5938	7906245	0	22114.02148	109500.2656	48064.32422	741492.125	45568.96875	97899.25	97899.25	48481.27734	123407.8438	41876.50781	103588.3906
